iter	MultiClass
0	1.427592378
1	1.298196715
2	1.192203693
3	1.100111919
4	1.02800418
5	0.9556200857
6	0.9030077853
7	0.8495100056
8	0.7996906431
9	0.7498112581
10	0.7054103168
11	0.6750401162
12	0.6305587198
13	0.6029590954
14	0.56984648
15	0.5367979823
16	0.5121004661
17	0.4849974913
18	0.4605636164
19	0.440203708
20	0.4222745191
21	0.4061403496
22	0.3873598775
23	0.37141236
24	0.3539987512
25	0.339763843
26	0.3249848924
27	0.3088694445
28	0.2987721667
29	0.2855604432
30	0.2767515803
31	0.2636724614
32	0.2519435276
33	0.24216297
34	0.2340334391
35	0.225322411
36	0.2162232467
37	0.2066959985
38	0.1990823441
39	0.1917506457
40	0.1850590631
41	0.177524257
42	0.1711038905
43	0.1649377389
44	0.159579253
45	0.1531250137
46	0.1487192784
47	0.1429456625
48	0.1374207423
49	0.1328301885
50	0.1284218447
51	0.1236896429
52	0.1197376362
53	0.115441227
54	0.1119733193
55	0.1090031699
56	0.1051770317
57	0.1016609631
58	0.09855549226
59	0.09576304061
60	0.09340720382
61	0.09072490119
62	0.0878385752
63	0.08488478863
64	0.0820182808
65	0.07970609485
66	0.0771875499
67	0.07476659732
68	0.07236146292
69	0.07039745557
70	0.06819355315
71	0.06596496543
72	0.06401665078
73	0.06218774927
74	0.06036218544
75	0.05851881456
76	0.05693597015
77	0.05531872067
78	0.05372649665
79	0.05217668594
80	0.05087628773
81	0.04952452985
82	0.04817788789
83	0.0468164917
84	0.04551784583
85	0.0443922409
86	0.04328853591
87	0.04223148166
88	0.04123847663
89	0.04036382499
90	0.03934779376
91	0.03846435633
92	0.03758362063
93	0.0367818338
94	0.03589695886
95	0.0352129296
96	0.03435133036
97	0.03353544552
98	0.03290968213
99	0.03206452549
100	0.03121961536
101	0.03060033409
102	0.02992999834
103	0.02926304023
104	0.0286498553
105	0.02812941181
106	0.02747632973
107	0.02682727712
108	0.02625074976
109	0.02584311101
110	0.02528034574
111	0.02481400788
112	0.02440575725
113	0.02382317165
114	0.02336368617
115	0.02290817156
116	0.02247469976
117	0.02191911589
118	0.0215667925
119	0.02112059844
120	0.02075511993
121	0.02039918998
122	0.02006317328
123	0.0196899969
124	0.01927596343
125	0.01885494612
126	0.01856920697
127	0.01821759054
128	0.01789310804
129	0.01753629846
130	0.01722470529
131	0.01688247723
132	0.01657961173
133	0.01622648668
134	0.01599067794
135	0.01566159988
136	0.01536542581
137	0.01508874471
138	0.0147862589
139	0.01470764702
140	0.0144983048
141	0.01421088852
142	0.01401229604
143	0.01373811681
144	0.01354973291
145	0.01339627945
146	0.01316491505
147	0.01289765342
148	0.01271499855
149	0.01247582565
